,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts
220,822.0,0,1577,1.7178470566408532e-06,4.2779577371999227e-07,0
221,826.0,0,1577,1.7178470566408532e-06,8.555915474399845e-07,0
222,817.0,0,1577,1.7178470566408532e-06,4.2779577371999227e-07,0
223,813.0,0,1577,0.0,4.2779577371999227e-07,0
224,823.0,0,1578,1.0307082339845118e-05,1.711183094879969e-06,0
225,811.0,0,1578,1.0307082339845118e-05,1.711183094879969e-06,0
226,821.0,0,1578,1.546062350976768e-05,1.2833873211599767e-06,0
227,832.0,0,1578,1.8896317623049383e-05,2.5667746423199534e-06,0
228,813.0,0,1578,1.0307082339845118e-05,2.5667746423199534e-06,0
229,824.0,0,1578,3.6074788189457915e-05,3.422366189759938e-06,0
230,810.0,0,1578,1.7178470566408533e-05,2.994570416039946e-06,0
231,807.0,0,1578,3.951048230273962e-05,8.555915474399845e-06,0
232,822.0,0,1578,2.233201173633109e-05,4.2779577371999225e-06,0
233,806.0,0,1578,3.263909407617621e-05,5.133549284639907e-06,0
234,816.0,0,1578,1.0307082339845118e-05,3.422366189759938e-06,0
235,830.0,0,1578,2.748555290625365e-05,3.850161963479931e-06,0
236,815.0,0,1578,1.2024929396485972e-05,2.994570416039946e-06,0
237,818.0,0,1578,2.0614164679690236e-05,5.133549284639907e-06,0
238,824.0,0,1579,0.0002078594938535,8.555915474399845e-06,0
239,811.0,0,1579,1.8896317623049383e-05,1.711183094879969e-06,0
240,830.0,0,1579,1.3742776453126824e-05,1.2833873211599767e-06,0
241,810.0,0,1579,1.8896317623049383e-05,3.422366189759938e-06,0
242,809.0,0,1579,1.2024929396485972e-05,4.2779577371999227e-07,0
243,805.0,0,1579,6.871388226563413e-06,8.555915474399845e-07,0
244,819.0,0,1579,1.0307082339845118e-05,2.5667746423199534e-06,0
245,823.0,0,1579,4.638187052930304e-05,1.711183094879969e-06,0
246,816.0,0,1579,8.589235283204266e-06,1.2833873211599767e-06,0
247,825.0,0,1579,0.000109942211625,4.2779577371999225e-06,0
248,814.0,0,1579,1.2024929396485972e-05,4.2779577371999227e-07,0
249,812.0,0,1579,6.871388226563413e-06,2.5667746423199534e-06,0
250,827.0,0,1579,4.466402347266218e-05,2.1389788685999612e-06,0
251,806.0,0,1579,5.153541169922559e-06,8.555915474399845e-07,0
252,746.0,0,1580,5.1535411699225594e-05,3.5507049218759355e-05,0
253,750.0,0,1580,3.779263524609877e-05,4.705753510919915e-05,0
254,759.0,0,1580,4.638187052930304e-05,3.679043653991934e-05,0
255,751.0,0,1580,4.9817564642584744e-05,3.6362640766199345e-05,0
256,745.0,0,1580,4.809971758594389e-05,2.481215487575955e-05,0
257,753.0,0,1580,5.1535411699225594e-05,3.208468302899942e-05,0
258,740.0,0,1580,5.325325875586645e-05,3.379586612387939e-05,0
259,733.0,0,1580,5.668895286914815e-05,4.40629646931592e-05,0
260,735.0,0,1580,7.214957637891583e-05,3.8501619634799304e-05,0
261,749.0,0,1580,3.6074788189457915e-05,3.037349993411945e-05,0
262,744.0,0,1580,7.902096460547925e-05,3.251247880271941e-05,0
263,758.0,0,1580,3.6074788189457915e-05,3.251247880271941e-05,0
264,754.0,0,1580,4.638187052930304e-05,3.593484499247935e-05,0
265,737.0,0,1580,7.386742343555668e-05,4.834092243035913e-05,0
266,748.0,0,1581,1.3742776453126824e-05,1.2833873211599767e-06,0
267,741.0,0,1581,0.0002593949055527,4.705753510919915e-06,0
268,756.0,0,1581,3.092124701953536e-05,4.2779577371999225e-06,0
269,744.0,0,1581,6.871388226563413e-06,4.2779577371999227e-07,0
270,735.0,0,1581,0.00021988442325,4.2779577371999225e-06,0
271,745.0,0,1581,1.3742776453126824e-05,1.711183094879969e-06,0
